Date,Speed,Direction
11/3/18 7:56,0,329.9
11/3/18 8:56,0,15.4
11/3/18 9:56,0,30.9
11/3/18 10:56,0.33,71.6
11/3/18 11:56,1.34,205
11/3/18 12:56,2.67,188.1
11/3/18 13:56,2,209.2
11/3/18 14:56,5.01,143.2
11/3/18 15:56,6.35,148.8
11/3/18 16:56,6.35,171.3
11/3/18 17:56,7.01,141.8
11/3/18 18:56,7.01,139
11/3/18 19:56,5.01,143.2
11/3/18 20:56,1.67,213.4
11/3/18 21:56,2,196.5
11/3/18 22:56,0.33,238.7
11/3/18 23:56,0,303.2
11/4/18 0:56,0,317.3
11/4/18 1:56,0,68.8
11/4/18 2:56,0.67,106.7
11/4/18 3:56,0,203.6
11/4/18 4:56,0.33,238.7
11/4/18 5:56,0,60.4
11/4/18 6:56,0.33,51.9
11/4/18 7:56,0,36.5
11/4/18 8:56,0.67,140.4
11/4/18 9:56,0,205
11/4/18 10:56,1,157.2
11/4/18 11:56,1.67,165.7
11/4/18 12:56,2.34,186.7
11/4/18 13:56,2.67,219
11/4/18 14:56,3.67,150.2
11/4/18 15:56,6.68,139
11/4/18 16:56,7.01,139
11/4/18 17:56,7.35,144.6
11/4/18 18:56,7.01,146
11/4/18 19:56,5.68,155.8
11/4/18 20:56,2.67,189.5
11/4/18 21:56,2.67,254.1
11/4/18 22:56,1,346.8
11/4/18 23:56,1,108.1
11/5/18 0:56,1,87
11/5/18 1:56,0.33,37.9
11/5/18 2:56,0.33,251.3
11/5/18 3:56,0,7
11/5/18 4:56,0.33,99.7
11/5/18 5:56,0,39.3
11/5/18 6:56,0.33,213.4
11/5/18 7:56,0.33,275.2
11/5/18 8:56,0.33,110.9
11/5/18 9:56,0.67,133.4
11/5/18 10:56,0.67,164.3
11/5/18 11:56,1.67,171.3
11/5/18 12:56,2.34,174.1
11/5/18 13:56,2,178.3
11/5/18 14:56,3.01,196.5
11/5/18 15:56,4.68,140.4
11/5/18 16:56,6.68,146
11/5/18 17:56,7.35,137.6
11/5/18 18:56,7.68,136.2
11/5/18 19:56,6.35,140.4
11/5/18 20:56,2.34,174.1
11/5/18 21:56,2.34,235.9
11/5/18 22:56,0.67,299
11/5/18 23:56,0.33,296.2
11/6/18 0:56,0.67,78.6
11/6/18 1:56,0.33,341.2
11/6/18 2:56,0.33,91.3
11/6/18 3:56,0.33,49.1
11/6/18 4:56,0.33,262.5
11/6/18 5:56,0.67,28.1
11/6/18 6:56,0,202.2
11/6/18 7:56,0.33,8.4
11/6/18 8:56,1,150.2
11/6/18 9:56,0.67,154.4
11/6/18 10:56,0.67,176.9
11/6/18 11:56,1.67,150.2
11/6/18 12:56,2.34,171.3
11/6/18 13:56,2.34,182.5
